BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,STATE,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
200901,1,0,200901,8,936,INDIANA,Flood,0,0,0,0,5.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,300,COLORADO,High Wind,0,0,0,0,,
200901,1,0,200901,1,300,COLORADO,High Wind,0,0,0,0,25.00K,
200901,1,0,200901,1,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,1200,OREGON,Heavy Snow,0,0,0,0,0.00K,0.00K
200901,1,0,200901,9,900,PENNSYLVANIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,3,400,MONTANA,Winter Storm,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,800,WYOMING,High Wind,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,CALIFORNIA,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,250.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,250.00K
200901,1,0,200901,31,2359,OKLAHOMA,Drought,0,0,0,0,,
200901,1,0,200901,2,1500,HAWAII,High Surf,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,OKLAHOMA,Drought,0,0,0,0,,
200901,1,0,200901,2,1500,HAWAII,High Surf,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,1200,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,2359,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,2359,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,10,1200,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,1200,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,2359,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,1200,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,2359,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,1800,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,12,2359,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,11,1400,ALASKA,Extreme Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,OKLAHOMA,Drought,0,0,0,0,,
200901,1,0,200901,1,2359,WISCONSIN,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,VERMONT,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,OKLAHOMA,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,OKLAHOMA,Drought,0,0,0,0,,
200901,1,0,200901,1,900,VERMONT,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,VERMONT,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,MASSACHUSETTS,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,HAWAII,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,MASSACHUSETTS,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,CONNECTICUT,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,1,900,NEW YORK,Cold/Wind Chill,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,31,2359,WISCONSIN,Drought,0,0,0,0,,
200901,1,0,200901,1,130,WYOMING,High Wind,0,0,0,0,0.00K,0.00K
200901,1,0,200901,31,2359,TEXAS,Drought,0,0,0,0,0.00K,0.00K
